[Name]
Series 1 at /LINE:My outlet

[Data]
Velocity u [ m s^-1 ],Y [ m ]
7.20000029e-01, 7.99999982e-02
6.55200005e-01, 8.20000023e-02
5.88800013e-01, 8.39999989e-02
5.20799994e-01, 8.60000029e-02
4.51200008e-01, 8.79999995e-02
3.79999995e-01, 9.00000036e-02
3.07200015e-01, 9.20000002e-02
2.32800007e-01, 9.39999968e-02
1.56800002e-01, 9.60000008e-02
7.91999996e-02, 9.79999974e-02
0.00000000e+00, 1.00000001e-01


